nombre,n_concursados,n_aprobados,año
UNIVERSIDAD DE CHILE,158,81,2014
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,115,66,2014
UNIVERSIDAD DE CONCEPCION,57,23,2014
UNIVERSIDAD AUSTRAL DE CHILE,41,15,2014
UNIVERSIDAD ANDRES BELLO,28,15,2014
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,39,14,2014
UNIVERSIDAD DE SANTIAGO DE CHILE,36,14,2014
UNIVERSIDAD DE LA FRONTERA,17,8,2014
UNIVERSIDAD DE TALCA,11,8,2014
UNIVERSIDAD DE VALPARAISO,17,7,2014
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,15,7,2014
UNIVERSIDAD DE LOS ANDES,10,6,2014
UNIVERSIDAD DE LOS LAGOS,5,3,2014
UNIVERSIDAD ADOLFO IBAÑEZ,3,3,2014
UNIVERSIDAD DEL DESARROLLO,7,2,2014
UNIVERSIDAD DE ANTOFAGASTA,5,2,2014
UNIVERSIDAD DIEGO PORTALES,4,2,2014
UNIVERSIDAD CATOLICA DEL NORTE,5,1,2014
UNIVERSIDAD DE TARAPACA,5,1,2014
UNIVERSIDAD ALBERTO HURTADO,3,1,2014
UNIVERSIDAD DE LA SERENA,3,1,2014
UNIVERSIDAD CATOLICA DE LA STMA. CONCEPCION,2,1,2014
UNIVERSIDAD AUTONOMA DE CHILE,1,1,2014
UNIVERSIDAD BERNARDO O'HIGGINS,1,1,2014
UNIVERSIDAD DE PLAYA ANCHA CS. EDUCACION,1,1,2014
UNIVERSIDAD MAYOR,1,1,2014
UNIVERSIDAD ARTURO PRAT,2,0,2014
UNIVERSIDAD CATOLICA DE TEMUCO,1,0,2014
UNIVERSIDAD DEL BIO-BIO,1,0,2014