nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,251,152,2012
PONT. UNIV. CATOLICA DE CHILE,142,89,2012
UNIV. DE CONCEPCION,97,48,2012
UNIV. AUSTRAL DE CHILE,44,32,2012
UNIV. DE SANTIAGO DE CHILE,84,39,2012
PONT. UNIV. CATOLICA DE VALPARAISO,56,30,2012
UNIV. ANDRES BELLO,25,14,2012
UNIV. DE LA FRONTERA,26,18,2012
UNIV. TECNICA FEDERICO SANTA MARIA,39,23,2012
UNIV. DE VALPARAISO,27,15,2012
UNIV. DE TARAPACA,29,10,2012
UNIV. DE TALCA,28,10,2012
UNIV. DEL BIO-BIO,31,10,2012
UNIV. DE LOS LAGOS,21,11,2012
UNIV. DEL DESARROLLO,15,6,2012
UNIV. DE ANTOFAGASTA,11,5,2012
UNIV. DIEGO PORTALES,20,10,2012
UNIV. CATOLICA DEL NORTE,24,9,2012
UNIV. CATOLICA DE TEMUCO,11,7,2012
UNIV. DE LOS ANDES,21,7,2012
UNIV. ADOLFO IBANEZ,18,10,2012
UNIV. DE LA SERENA,9,6,2012
UNIV. ALBERTO HURTADO,6,5,2012
UNIV. ACADEMIA DE HUMANISMO CRISTIANO,5,3,2012
UNIV. SANTO TOMAS,3,1,2012
UNIV. VINA DEL MAR,2,1,2012
UNIV. ARTURO PRAT,5,2,2012
UNIV. DE MAGALLANES,2,1,2012
UNIV. METROPOLITANA DE CS. DE LA EDUCACION,4,0,2012
UNIV. CATOLICA DEL MAULE,5,1,2012
UNIV. DE PLAYA ANCHA CS. EDUCACION,8,1,2012
UNIV. CATOLICA DE LA STMA. CONCEPCION,15,0,2012
UNIV. DE ATACAMA,2,1,2012
UNIV. INTERNACIONAL SEK,5,0,2012
UNIV. TECNOLOGICA METROPOLITANA,2,1,2012
UNIV. MAYOR,3,0,2012
UNIV. CATOLICA CARDENAL SILVA HENRIQUEZ,2,0,2012
UNIV. UCINF,1,0,2012
UNIV. DEL PACIFICO,0,0,2012
UNIV. SAN SEBASTIAN,1,0,2012
OTRAS UNIVERSIDADES,15,0,2012