Broad classification:,Second-level classification:
Natural Sciences,Mathematics
Natural Sciences,Computer and information sciences
Natural Sciences,Physical sciences
Natural Sciences,Chemical sciences
Natural Sciences,Earth and related environmental sciences
Natural Sciences,Biological sciences
Natural Sciences,Other
Engineering and technology,Civil engineering
Engineering and technology,"Eletrical engineering, electronic engineering and information engineering"
Engineering and technology,Mechanical engineering
Engineering and technology,Chemical engineering
Engineering and technology,Materials engineering
Engineering and technology,Medical engineering
Engineering and technology,Environmental engineering
Engineering and technology,Environmental biotechnology
Engineering and technology,Industrial biotechnology
Engineering and technology,Nano-technology
Engineering and technology,Other
Medical and health sciences,Basic medicine
Medical and health sciences,Clinical medicine
Medical and health sciences,Health sciences
Medical and health sciences,Medical biotechnology
Medical and health sciences,Other
Agricultural and veterinary sciences,"Agriculture, forestry and fisheries"
Agricultural and veterinary sciences,Animal and dairy science
Agricultural and veterinary sciences,Veterinary science
Agricultural and veterinary sciences,Agricultural biotechnology
Agricultural and veterinary sciences,Other
Social sciences,Psychology and cognitive sciences
Social sciences,Economics and business
Social sciences,Education
Social sciences,Sociology
Social sciences,Law
Social sciences,Political science
Social sciences,Social and economic geography
Social sciences,Media and communications
Social sciences,Other
Humanities and the arts,History and archaeology
Humanities and the arts,Languages and literature
Humanities and the arts,"Philosophy, ethics and religion"
Humanities and the arts,Arts
Humanities and the arts,Other